# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.973313e-04  1.149723e-03  1.822472e-03  3.010209e-03  4.844675e-03
1.200  6.417558e-04  9.489513e-04  1.535416e-03  2.600336e-03  4.256863e-03
1.300  5.356025e-04  8.135776e-04  1.344257e-03  2.335537e-03  3.899471e-03
1.400  4.763135e-04  7.342913e-04  1.244247e-03  2.206414e-03  3.740449e-03
1.600  3.954381e-04  6.267371e-04  1.100349e-03  2.012646e-03  3.345961e-03
1.800  3.478503e-04  5.734727e-04  1.035461e-03  1.935233e-03  3.148668e-03
2.000  3.349086e-04  5.585068e-04  1.032971e-03  1.947049e-03  3.141105e-03
2.200  3.306526e-04  5.594752e-04  1.045026e-03  1.986432e-03  3.177761e-03
2.400  3.266914e-04  5.569068e-04  1.045413e-03  1.991335e-03  3.178938e-03
2.600  3.166958e-04  5.467482e-04  1.026255e-03  1.954843e-03  3.120682e-03
