# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.744249e-04  3.945986e-04  6.162524e-04  1.001909e-03  1.563956e-03
1.200  2.163916e-04  3.189884e-04  5.082226e-04  8.445049e-04  1.348295e-03
1.300  1.764026e-04  2.650279e-04  4.342217e-04  7.397126e-04  1.205854e-03
1.400  1.518857e-04  2.314833e-04  3.888273e-04  6.771055e-04  1.119209e-03
1.600  1.185884e-04  1.867887e-04  3.264370e-04  5.866754e-04  9.925977e-04
1.800  1.002564e-04  1.630591e-04  2.916550e-04  5.357903e-04  8.868588e-04
2.000  9.063792e-05  1.515353e-04  2.762299e-04  5.173629e-04  8.399697e-04
2.200  8.719713e-05  1.464639e-04  2.722252e-04  5.142028e-04  8.277946e-04
2.400  8.568134e-05  1.460599e-04  2.741803e-04  5.211744e-04  8.337398e-04
2.600  8.614783e-05  1.479729e-04  2.791626e-04  5.306450e-04  8.488903e-04
