# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  6.444775e-04  9.630719e-04  1.571298e-03  2.673631e-03  4.383501e-03
1.200  5.330771e-04  8.079038e-04  1.351166e-03  2.347540e-03  3.909192e-03
1.300  4.661957e-04  7.186936e-04  1.217817e-03  2.149837e-03  3.618255e-03
1.400  4.174397e-04  6.591189e-04  1.136857e-03  2.034106e-03  3.456842e-03
1.600  3.553403e-04  5.741216e-04  1.022102e-03  1.869524e-03  3.108026e-03
1.800  3.211818e-04  5.295065e-04  9.560760e-04  1.775432e-03  2.907270e-03
2.000  3.082492e-04  5.190680e-04  9.507446e-04  1.776901e-03  2.891067e-03
2.200  3.040720e-04  5.107460e-04  9.492981e-04  1.785550e-03  2.886668e-03
2.400  2.972917e-04  5.055364e-04  9.395886e-04  1.771032e-03  2.857144e-03
2.600  2.874710e-04  4.900482e-04  9.199072e-04  1.730268e-03  2.797295e-03
